t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3,mu_4,nu_4,tau_4,mu_5,nu_5,tau_5
0.032866,-2.286738073,-0.998257402,1.385504582,0.991873851,-0.03236362,0.123008448,0.002788984,0.210494859,0.036367657,-0.558386011,-0.883239262,1.543565727,0.054949132,25.97514172,7.718406396,4.234287526,-66.78905592,19.89053199,5.393756202,2.556385633,2.656029867,3.112072731,2.362434185,0.961473113,0.003882775,0.089920936,0.989118114,0.001093313,0.089397369,0.989416775,0.001006552,0.089906537,0.989417601,0.001006552,0.045018899,0.989418844,0.001006552,0.044752067,0.98942134,0.001006552,0.044913908
0.0361526,-2.279178762,-0.996809539,1.368973722,0.988093371,-0.047067945,0.146399852,0.004814229,0.295864752,0.061734969,-0.544469603,-1.102748154,1.608937944,0.07267625,32.10928894,11.52240687,7.734498404,-67.04164953,19.61980105,5.393733434,2.706385412,2.806029516,3.262068254,2.512432583,0.957562673,0.00391044,0.089918155,0.988020456,0.001097659,0.089384251,0.98841999,0.000996786,0.089903239,0.988420815,0.000996786,0.045012138,0.988422058,0.000996786,0.044747209,0.988424554,0.000996786,0.044911056
0.0394392,-2.268758513,-0.994419814,1.35303733,0.983163997,-0.064956156,0.170623767,0.007535087,0.401395132,0.099604508,-0.519049403,-1.32308722,1.673420376,0.090403293,38.57696851,16.27175147,10.01972235,-62.6172237,14.62712234,4.89445709,2.85638517,2.956029121,3.35189987,2.662431473,0.953610702,0.003951971,0.089915651,0.986916438,0.001104018,0.089372584,0.987430909,0.000989081,0.089900197,0.987431734,0.000989081,0.045005443,0.987432977,0.000989081,0.044741249,0.987435473,0.000989081,0.04490852
0.0427258,-2.25485524,-0.990666567,1.337981561,0.976875286,-0.085882269,0.195494687,0.010987752,0.528182185,0.153083242,-0.486118586,-1.528884969,1.721493872,0.106489414,44.51245302,21.57224187,9.537433116,-39.45801589,-8.96380238,2.40508984,3.006384893,3.106028657,3.201908532,2.812430624,0.94959867,0.004012032,0.089913613,0.985803428,0.00111301,0.089363078,0.986447072,0.000983837,0.089897537,0.986447897,0.000983837,0.04499871,0.98644914,0.000983837,0.044733764,0.986451636,0.000983837,0.044906251
0.0460124,-2.236855004,-0.985052504,1.323895164,0.969199743,-0.109132328,0.220260062,0.015082813,0.674476801,0.223982566,-0.454772861,-1.658567673,1.692033442,0.114393982,50.33536279,27.46035029,8.381346097,-16.1271469,-32.41024481,-0.084294555,3.156384569,3.256028085,3.051915221,2.962429929,0.945502533,0.004096137,0.08991225,0.984678093,0.001125334,0.089356513,0.985465604,0.000981468,0.089895387,0.98546643,0.000981468,0.04499183,0.985467673,0.000981468,0.044724247,0.985470169,0.000981468,0.044904188
0.049299,-2.214175832,-0.977023898,1.310696527,0.960398889,-0.133547814,0.243749245,0.019627848,0.839908989,0.314233745,-0.427226731,-1.711571149,1.58551394,0.114116939,55.76838459,33.67649537,6.69268404,7.3687313,-55.68778269,-2.573668733,3.306384174,3.406027334,2.901923124,3.112429325,0.941291668,0.004210866,0.089911777,0.983536322,0.001141771,0.089353689,0.984483207,0.000982397,0.089893879,0.984484033,0.000982397,0.044984681,0.984485275,0.000982397,0.044712091,0.984487771,0.000982397,0.044902272
0.0525856,-2.186260774,-0.965981833,1.29824375,0.950946887,-0.157984683,0.264847207,0.024429666,1.023197346,0.424914905,-0.405230558,-1.687353079,1.40249049,0.10565832,60.56642044,39.95481348,4.716831326,30.99411858,-78.80061575,-5.062987741,3.456383676,3.556026263,2.751937511,3.262428773,0.936927169,0.004364498,0.089912404,0.9823731,0.001163222,0.089355405,0.983496122,0.000987086,0.089893137,0.983496947,0.000987086,0.044977131,0.98349819,0.000987086,0.044696534,0.983500686,0.000987086,0.044900452
0.0558722,-2.152603757,-0.951308207,1.286353727,0.941516646,-0.181324629,0.28250528,0.029300921,1.222254926,0.556230383,-0.389728221,-1.585487818,1.143504409,0.089018306,65.37064666,46.64897659,3.954111252,41.3659176,-88.53016052,-6.133546075,3.606383021,3.706024532,2.772924358,3.412428242,0.932359492,0.004567677,0.089914309,0.981182372,0.001190728,0.089362388,0.98250009,0.000996031,0.089893273,0.982500916,0.000996031,0.044969025,0.982502158,0.000996031,0.04467659,0.982504654,0.000996031,0.044898698
0.0591588,-2.112730712,-0.932362566,1.27488936,0.932776304,-0.202787973,0.296041239,0.034131864,1.437102074,0.709546896,-0.376732641,-1.449534605,0.852541209,0.068859795,69.96222836,53.66285114,4.249639564,41.65025075,-88.23741716,-6.133654621,3.756382125,3.856021032,2.922908137,3.562427705,0.927524621,0.004834872,0.089917633,0.979956818,0.001225554,0.089375278,0.981490278,0.001009813,0.089894378,0.981491103,0.001009813,0.044960185,0.981492346,0.001009813,0.044650926,0.981494842,0.001009813,0.044897011
0.0624454,-2.066178333,-0.908469019,1.263826101,0.925150865,-0.222153538,0.305331989,0.038936548,1.667039914,0.885915207,-0.362765776,-1.312646903,0.56254014,0.048700928,73.6836781,60.55146628,4.881342609,41.84549697,-87.9850709,-6.13363915,3.906380869,4.006008035,3.07289768,3.712427125,0.922337854,0.005186766,0.089922462,0.978687514,0.001269304,0.089394606,0.980461138,0.00102914,0.089896526,0.980461963,0.00102914,0.0449504,0.980463206,0.00102914,0.044617637,0.980465702,0.00102914,0.044895431
