t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3,mu_4,nu_4,tau_4,mu_5,nu_5,tau_5
0.0300114,-2.299606673,0.99159356,1.355427612,0.99726407,0.070407455,0.020187243,-0.009982101,0.014494706,-0.126260284,-0.73289205,0.688469953,0.650444463,-0.186285493,5.030674057,-15.477804,3.096403656,-3.076814817,53.00692568,-9.643842425,2.12339687,2.679268907,2.466684026,2.972037606,0.961569915,0.003841316,0.089929588,0.989128946,0.001088533,0.089427226,0.989433673,0.000999312,0.089906526,0.989434498,0.000999312,0.045021145,0.989435741,0.000999312,0.044755295,0.989438237,0.000999312,0.044910136
0.0330125,-2.298961746,0.987124869,1.333583496,0.996174121,0.080675903,0.031214971,-0.012415639,0.029592461,-0.172711334,-0.723599311,0.679236003,0.809525644,-0.21522801,7.884390226,-18.61431473,8.483358297,-2.522058156,52.93391099,-9.635750548,2.273388132,2.828376423,2.616681274,3.122028156,0.957723104,0.003846811,0.089926751,0.988038761,0.001090185,0.08941292,0.988447809,0.000985864,0.089902511,0.988448634,0.000985864,0.045015483,0.988449877,0.000985864,0.044752184,0.988452373,0.000985864,0.044905455
0.0360137,-2.297740092,0.981122245,1.312261896,0.994752333,0.090813253,0.044646272,-0.015081906,0.053254616,-0.22857549,-0.698139569,0.671666954,0.968387697,-0.244146242,11.27788186,-21.45014798,10.71835831,23.57581888,78.22323373,-6.913925667,2.423381009,2.678869689,2.766678019,3.272010049,0.953865266,0.003857838,0.089923874,0.986945972,0.001092789,0.089398856,0.987474509,0.000973299,0.089898447,0.987475335,0.000973299,0.045010215,0.987476578,0.000973299,0.044748658,0.987479074,0.000973299,0.044900612
0.0390148,-2.295661044,0.973317356,1.291806518,0.992809611,0.101418927,0.061024845,-0.017867562,0.087101114,-0.292950377,-0.66597228,0.742421277,1.203146537,-0.264895897,15.90608178,-25.17357431,15.08735878,28.03269111,81.65340919,-6.515409676,2.57337466,2.785055319,2.916674003,3.421960644,0.949988672,0.003876594,0.089921037,0.985849314,0.001096658,0.089385371,0.986512706,0.000961803,0.089894387,0.986513532,0.000961803,0.045005286,0.986514775,0.000961803,0.044744514,0.986517271,0.000961803,0.044895538
0.042016,-2.29236537,0.963416558,1.27251593,0.990056021,0.113175316,0.080956546,-0.020651045,0.134837485,-0.368499786,-0.620693011,0.826551294,1.448199812,-0.284449551,21.26416129,-28.83106825,16.65045228,4.722261665,57.44616508,-3.952817678,2.723368527,2.934929144,3.066668768,3.290083257,0.946082864,0.003905808,0.089918345,0.984747135,0.001102178,0.089372902,0.985561109,0.000951597,0.089890405,0.985561934,0.000951597,0.045000638,0.985563178,0.000951597,0.044739501,0.985565674,0.000951597,0.044890156
0.0450171,-2.287402241,0.95108643,1.254657719,0.986339115,0.125636303,0.103947336,-0.023358652,0.1986542,-0.455025845,-0.57072268,0.840723461,1.62060377,-0.296312508,27.3751715,-32.6266464,17.51294533,-20.36994843,31.92710537,-1.227688198,2.873362079,3.084884023,3.216661342,3.140236397,0.942133929,0.003948935,0.089915938,0.983637308,0.001109827,0.089362001,0.984618159,0.00094295,0.089886592,0.984618984,0.00094295,0.044996203,0.984620227,0.00094295,0.044733301,0.984622723,0.00094295,0.044884375
0.0480182,-2.280253404,0.935989359,1.238341,0.981715465,0.137691362,0.128866054,-0.02587238,0.28081091,-0.552942964,-0.518163887,0.779590403,1.716421468,-0.299996972,34.48083665,-36.80742519,19.38356723,-31.64086711,20.61537297,-0.000583415,3.023354548,3.234860798,3.366648882,3.155206832,0.93812392,0.004010009,0.089913975,0.982517157,0.001120151,0.089353291,0.983682008,0.000936151,0.08988306,0.983682833,0.000936151,0.044991911,0.983684076,0.000936151,0.044725543,0.983686572,0.000936151,0.044878104
0.0510194,-2.270323022,0.917764875,1.223688758,0.976303904,0.148513118,0.154874792,-0.028077496,0.384292712,-0.663407183,-0.459991097,0.684631746,1.778291079,-0.299998723,42.60248593,-41.21884963,21.90097858,-31.49114752,20.84326059,0.000152075,3.173345021,3.38484463,3.516621186,3.305104843,0.93402981,0.00409411,0.089912647,0.981383349,0.001133808,0.089347488,0.982750479,0.000931529,0.089879934,0.982751304,0.000931529,0.044987684,0.982752547,0.000931529,0.044715761,0.982755044,0.000931529,0.044871233
0.0540205,-2.256925617,0.896025624,1.210898806,0.970140713,0.157849435,0.181704482,-0.029900481,0.512148717,-0.787110703,-0.394263204,0.590122417,1.840844613,-0.299998267,51.41889571,-45.4171658,23.74905919,-31.33590521,21.06606999,0.000413182,3.323333159,3.534829586,3.666545359,3.455003465,0.9298219,0.00420791,0.08991217,0.980231741,0.001151608,0.089345404,0.981821005,0.000929474,0.089877365,0.981821831,0.000929474,0.044983434,0.981823074,0.000929474,0.044703338,0.98182557,0.000929474,0.044863634
0.0570217,-2.239298606,0.870383665,1.200168009,0.963193261,0.165706152,0.209334747,-0.031291894,0.666463998,-0.923413955,-0.322988964,0.496078993,1.904066829,-0.299997027,60.91917534,-49.33386893,24.86039353,-31.17424255,21.26480018,0.000115037,3.473318023,3.684813616,3.816303404,3.604795152,0.925461752,0.004360148,0.089912776,0.979057204,0.001174537,0.0893479,0.98089057,0.000930436,0.089875513,0.980891395,0.000930436,0.044979063,0.980892638,0.000930436,0.044687468,0.980895134,0.000930436,0.044855166
0.0600228,-2.216617288,0.840473316,1.191629967,0.955420271,0.172089789,0.23773973,-0.032203041,0.849290944,-1.07147178,-0.248379454,0.402520741,1.967885461,-0.299996681,70.33027256,-52.35820712,23.91916463,-31.0578245,8.212948893,-0.000594864,3.623295852,3.834796058,3.888222115,3.67678737,0.92089932,0.004562432,0.089914686,0.977853416,0.001203788,0.089355821,0.979955644,0.000934925,0.089874547,0.97995647,0.000934925,0.044974462,0.979957713,0.000934925,0.04466708,0.979960209,0.000934925,0.044845682
0.0630239,-2.18802896,0.805981654,1.185292019,0.946851741,0.176998144,0.266604955,-0.032638017,1.060361906,-1.228606066,-0.176594703,0.309311876,1.992533667,-0.299998467,77.69889666,-53.37513157,18.90807691,-31.19749066,-42.58532848,0.000105143,3.773251302,3.984776316,3.73852928,3.526992697,0.916068921,0.004830399,0.089918074,0.976612619,0.001240797,0.089369906,0.979012128,0.000943516,0.089874624,0.979012954,0.000943516,0.044969511,0.979014197,0.000943516,0.044640731,0.979016693,0.000943516,0.044835056
0.0660251,-2.152773662,0.766726448,1.180883427,0.937883532,0.18039435,0.294543653,-0.032808532,1.293547138,-1.388792284,-0.119848925,0.215683853,1.864729154,-0.299998151,84.76048712,-54.14055209,14.42720093,-37.39137425,-87.70230438,0.606483499,3.923153564,4.134747381,3.655373053,3.377040711,0.9108842,0.005184721,0.089923005,0.975325421,0.001287199,0.089390592,0.978055342,0.000956786,0.089875861,0.978056168,0.000956786,0.044964095,0.97805741,0.000956786,0.044606519,0.978059906,0.000956786,0.044823218
